chr2L	73103	94543	active	3	.	73103	94543	255,255,153
chr2L	94543	102930	active	8	.	94543	102930	255,255,153
chr2L	102930	121473	active	8	.	102930	121473	255,255,153
chr2L	121473	130495	active	6	.	121473	130495	255,255,153
chr2L	130495	143461	active	3	.	130495	143461	255,255,153
chr2L	143461	156126	inactive	5	.	143461	156126	0,0,0
chr2L	156126	183760	active	7	.	156126	183760	255,255,153
chr2L	183760	207416	active	8	.	183760	207416	255,255,153
chr2L	207416	251331	active	8	.	207416	251331	255,255,153
chr2L	251331	283072	inactive	5	.	251331	283072	0,0,0
chr2L	283072	295066	active	3	.	283072	295066	255,255,153
chr2L	295066	305256	active	8	.	295066	305256	255,255,153
chr2L	305256	343855	inactive	5	.	305256	343855	0,0,0
chr2L	343855	364673	active	8	.	343855	364673	255,255,153
chr2L	364673	402865	PcG	4	.	364673	402865	56,108,176
chr2L	402865	421370	active	8	.	402865	421370	255,255,153
chr2L	421370	473150	active	3	.	421370	473150	255,255,153
chr2L	473150	489919	active	6	.	473150	489919	255,255,153
chr2L	489919	542975	active	6	.	489919	542975	255,255,153
chr2L	542975	553669	active	3	.	542975	553669	255,255,153
chr2L	553669	574987	active	8	.	553669	574987	255,255,153
chr2L	574987	602868	PcG	1	.	574987	602868	56,108,176
chr2L	602868	809777	PcG	4	.	602868	809777	56,108,176
chr2L	809777	825970	active	7	.	809777	825970	255,255,153
chr2L	825970	853278	active	6	.	825970	853278	255,255,153
chr2L	853278	871106	active	3	.	853278	871106	255,255,153
chr2L	871106	885340	active	3	.	871106	885340	255,255,153
chr2L	885340	901448	PcG	4	.	885340	901448	56,108,176
chr2L	901448	1077970	PcG	4	.	901448	1077970	56,108,176
chr2L	1077970	1108427	inactive	5	.	1077970	1108427	0,0,0
chr2L	1108427	1129691	active	6	.	1108427	1129691	255,255,153
chr2L	1129691	1143696	inactive	5	.	1129691	1143696	0,0,0
chr2L	1143696	1158276	active	8	.	1143696	1158276	255,255,153
chr2L	1158276	1164178	active	8	.	1158276	1164178	255,255,153
chr2L	1164178	1185674	active	7	.	1164178	1185674	255,255,153
chr2L	1185674	1252931	PcG	4	.	1185674	1252931	56,108,176
chr2L	1252931	1348458	PcG	4	.	1252931	1348458	56,108,176
chr2L	1348458	1420421	PcG	4	.	1348458	1420421	56,108,176
chr2L	1420421	1503240	PcG	4	.	1420421	1503240	56,108,176
chr2L	1503240	1611287	PcG	4	.	1503240	1611287	56,108,176
chr2L	1611287	1614536	active	7	.	1611287	1614536	255,255,153
chr2L	1614536	1708171	PcG	1	.	1614536	1708171	56,108,176
chr2L	1708171	1715734	active	7	.	1708171	1715734	255,255,153
chr2L	1715734	1728747	active	8	.	1715734	1728747	255,255,153
chr2L	1728747	1884321	PcG	4	.	1728747	1884321	56,108,176
chr2L	1884321	1908714	PcG	4	.	1884321	1908714	56,108,176
chr2L	1908714	1937585	active	3	.	1908714	1937585	255,255,153
chr2L	1937585	1974067	PcG	1	.	1937585	1974067	56,108,176
chr2L	1974067	1987851	active	7	.	1974067	1987851	255,255,153
chr2L	1987851	2036928	inactive	5	.	1987851	2036928	0,0,0
chr2L	2036928	2045673	active	8	.	2036928	2045673	255,255,153
chr2L	2045673	2130843	inactive	5	.	2045673	2130843	0,0,0
chr2L	2130843	2151583	active	8	.	2130843	2151583	255,255,153
chr2L	2151583	2160995	active	8	.	2151583	2160995	255,255,153
chr2L	2160995	2194208	active	3	.	2160995	2194208	255,255,153
chr2L	2194208	2215468	active	3	.	2194208	2215468	255,255,153
chr2L	2215468	2237044	active	8	.	2215468	2237044	255,255,153
chr2L	2237044	2330028	inactive	5	.	2237044	2330028	0,0,0
chr2L	2330028	2357482	inactive	5	.	2330028	2357482	0,0,0
chr2L	2357482	2377071	active	8	.	2357482	2377071	255,255,153
chr2L	2377071	2383056	active	7	.	2377071	2383056	255,255,153
chr2L	2383056	2422719	inactive	5	.	2383056	2422719	0,0,0
chr2L	2422719	2492696	inactive	5	.	2422719	2492696	0,0,0
chr2L	2492696	2561589	inactive	5	.	2492696	2561589	0,0,0
chr2L	2561589	2575118	active	3	.	2561589	2575118	255,255,153
chr2L	2575118	2587207	active	7	.	2575118	2587207	255,255,153
chr2L	2587207	2724465	inactive	5	.	2587207	2724465	0,0,0
chr2L	2724465	2739917	active	3	.	2724465	2739917	255,255,153
chr2L	2739917	2769767	active	8	.	2739917	2769767	255,255,153
chr2L	2769767	2809031	active	3	.	2769767	2809031	255,255,153
chr2L	2809031	2855746	inactive	5	.	2809031	2855746	0,0,0
chr2L	2855746	2874843	active	8	.	2855746	2874843	255,255,153
chr2L	2874843	2885455	active	7	.	2874843	2885455	255,255,153
chr2L	2885455	2969580	active	3	.	2885455	2969580	255,255,153
chr2L	2969580	2977156	active	7	.	2969580	2977156	255,255,153
chr2L	2977156	2993262	active	8	.	2977156	2993262	255,255,153
chr2L	2993262	3019092	inactive	5	.	2993262	3019092	0,0,0
chr2L	3019092	3029357	active	7	.	3019092	3029357	255,255,153
chr2L	3029357	3039800	active	7	.	3029357	3039800	255,255,153
chr2L	3039800	3058724	active	3	.	3039800	3058724	255,255,153
chr2L	3058724	3109537	active	3	.	3058724	3109537	255,255,153
chr2L	3109537	3144339	active	3	.	3109537	3144339	255,255,153
chr2L	3144339	3172797	active	8	.	3144339	3172797	255,255,153
